id,key,value,type
25248662,admin_level,2,regular
25248662,eo,Bejĝino,alt_name
25248662,fr,Beijing,alt_name
25248662,is,Peking,alt_name
25248662,sv,Peking,alt_name
25248662,capital,yes,regular
25248662,gns:ADM1,22,regular
25248662,gns:DSG,ADM1,regular
25248662,gns:UFI,-1898545,regular
25248662,gns:UNI,9310007,regular
25248662,continent,Asia,is_in
25248662,country,China,is_in
25248662,country_code,CN,is_in
25248662,iso_3166_2,CN-11,is_in
25248662,name,北京市,regular
25248662,af,Beijing,name
25248662,am,ቤዪጂንግ,name
25248662,an,Pequín,name
25248662,ang,Beȝcinȝ,name
25248662,ar,بكين,name
25248662,arz,بيكين,name
25248662,ast,Beixín,name
25248662,ay,Pekin',name
25248662,az,Pekin,name
25248662,ba,Пекин,name
25248662,bat-smg,Pekėns,name
25248662,bcl,Beijing,name
25248662,be,Пекін,name
25248662,be-tarask,Пэкін,name
25248662,bg,Пекин,name
25248662,bjn,Péycing,name
25248662,bn,বেইজিং,name
25248662,bo,པེ་ཅིང་གྲོང་ཁྱེར།,name
25248662,bpy,বেইজিং,name
25248662,br,Beijing,name
25248662,ca,Pequín,name
25248662,cbk-zam,Pekín,name
25248662,cdo,Báe̤k-gĭng,name
25248662,ceb,Beijing,name
25248662,ckb,پێکەن,name
25248662,crh,Pekin,name
25248662,cs,Peking,name
25248662,cv,Пекин,name
25248662,cy,Beijing,name
25248662,da,Beijing,name
25248662,de,Peking,name
25248662,dv,ބީޖިންގ,name
25248662,el,Πεκίνο,name
25248662,en,Beijing,name
25248662,eo,Pekino,name
25248662,es,Pekín,name
25248662,et,Peking,name
25248662,eu,Pekin,name
25248662,ext,Pequín,name
25248662,fa,پکن,name
25248662,fi,Peking,name
25248662,fo,Beijing,name
25248662,fr,Pékin,name
25248662,frp,Pèquin,name
25248662,ga,Béising,name
25248662,gan,北京,name
25248662,gd,Beijing,name
25248662,gl,Pequín - 北京,name
25248662,gn,Pekĩ,name
25248662,gu,બેઇજિંગ,name
25248662,gv,Beijing,name
25248662,hak,Pet-kîn,name
25248662,haw,Beijing,name
25248662,he,בייג'ין,name
25248662,hi,बीजिंग,name
25248662,hif,Beijing,name
25248662,hr,Peking,name
25248662,ht,Peken,name
25248662,hy,Պեկին,name
25248662,ia,Beijing,name
25248662,id,Beijing,name
25248662,ilo,Beijing,name
25248662,io,Beijing,name
25248662,is,Beijing,name
25248662,it,Pechino,name
25248662,ja,北京市,name
25248662,jbo,beidjin,name
25248662,jv,Beijing,name
25248662,ka,პეკინი,name
25248662,kab,Pekin,name
25248662,kk,Бейжің,name
25248662,kl,Beijing,name
25248662,km,ប៉េកាំង,name
25248662,kn,ಬೀಜಿಂಗ್,name
25248662,ko,베이징 시,name
25248662,ku,Pekîn,name
25248662,kv,Пекин,name
25248662,kw,Beijing,name
25248662,la,Pechinum,name
25248662,lez,Пекин,name
25248662,lij,Pechin,name
25248662,lmo,Pechin,name
25248662,lo,ປັກກິ່ງ,name
25248662,lt,Pekinas,name
25248662,lv,Pekina,name
25248662,mg,Beijing,name
25248662,mhr,Пекин,name
25248662,mi,Beijing,name
25248662,mk,Пекинг,name
25248662,ml,ബെയ്‌ജിങ്ങ്,name
25248662,mn,Бээжин,name
25248662,mr,ीजिंग,name
25248662,ms,Beijing,name
25248662,mwl,Pequin,name
25248662,my,ပေကျင်းမြို့,name
25248662,mzn,پکن,name
25248662,na,Beijing,name
25248662,nah,Pequin,name
25248662,ne,बेइजिङ,name
25248662,nl,Peking,name
25248662,nn,Beijing,name
25248662,no,Beijing,name
25248662,nov,Beyjing,name
25248662,nrm,Péqùin,name
25248662,oc,Pequin,name
25248662,os,Пекин,name
25248662,pa,ਬੀਜਿੰਗ,name
25248662,pam,Beijing,name
25248662,pap,Bejing,name
25248662,pdc,Beijing,name
25248662,pl,Pekin,name
25248662,pms,Pechin,name
25248662,pnb,بیجنگ,name
25248662,ps,بېجنګ,name
25248662,pt,Pequim,name
25248662,qu,Pikkin,name
25248662,ro,Beijing,name
25248662,roa-rup,Beijing,name
25248662,roa-tara,Pechine,name
25248662,ru,Пекин,name
25248662,rue,Пекінґ,name
25248662,sa,बीजिङ्ग्,name
25248662,sah,Пекин,name
25248662,sc,Beijing,name
25248662,scn,Pechinu,name
25248662,sco,Beijing,name
25248662,si,බෙයිජිං,name
25248662,sk,Peking,name
25248662,sl,Peking,name
25248662,so,Beijing,name
25248662,sq,Pekini,name
25248662,sr,Пекинг,name
25248662,srn,Beijing,name
25248662,su,Beijing,name
25248662,sv,Beijing,name
25248662,sw,Beijing,name
25248662,szl,Bejdżing,name
25248662,ta,பெய்ஜிங்,name
25248662,te,బీజింగ్,name
25248662,tg,Пекин,name
25248662,th,ปักกิ่ง,name
25248662,tk,Pekin,name
25248662,tl,Beijing,name
25248662,tpi,Beijing,name
25248662,tr,Pekin,name
25248662,tt,Пекин,name
25248662,ug,بېيجىڭ شەھىرى,name
25248662,uk,Пекін,name
25248662,ur,بیجنگ,name
25248662,uz,Pekin,name
25248662,vi,Bắc Kinh,name
25248662,war,Beijing,name
25248662,wuu,北京,name
25248662,xal,Бәәҗң балһсн,name
25248662,xmf,პეკინი,name
25248662,yi,בייזשינג,name
25248662,yo,Beijing,name
25248662,za,Baekging,name
25248662,zh,北京市,name
25248662,zh-classical,北京市,name
25248662,zh-min-nan,Pak-kiaⁿ-chhī,name
25248662,zh_pinyin,běijīng shì,name
25248662,zh-simplified,北京市,name
25248662,zh-traditional,北京市,name
25248662,zh-yue,北京,name
25248662,old_name,北平,regular
25248662,ku,Komara Gel a Çînê,old_name
25248662,vi,Bắc Bình,old_name
25248662,place,city,regular
25248662,population,13133000,regular
25248662,rank,0,regular
25248662,ref,京,regular
25248662,en,BJ,ref
25248662,vi,Kinh,ref
25248662,wikidata,Q956,regular
25248662,wikipedia,en:Beijing,regular
26535596,highway,traffic_signals,regular
27484993,highway,traffic_signals,regular
27547600,highway,traffic_signals,regular
31194140,highway,traffic_signals,regular
31201275,highway,traffic_signals,regular
32615480,highway,traffic_signals,regular
32877279,highway,traffic_signals,regular
35552318,highway,traffic_signals,regular
35722737,highway,traffic_signals,regular
35835807,ref,8,regular
35835807,exit_to,姚家园路;长虹桥;朝阳公园,regular
35835807,highway,motorway_junction,regular
35857542,exit_to,垡头路;小武基路,regular
35857542,highway,motorway_junction,regular
35869360,ref,36,regular
35869360,exit_to,航天桥;阜成门桥;定慧桥,regular
35869360,highway,motorway_junction,regular
36551783,highway,traffic_signals,regular
36704894,highway,traffic_signals,regular
72855736,ref,7,regular
72855736,highway,motorway_junction,regular
77734114,highway,traffic_signals,regular
100634747,highway,traffic_signals,regular
124184903,converted_by,Track2osm,regular
124185136,converted_by,Track2osm,regular
124185256,converted_by,Track2osm,regular
124185804,ref,4B,regular
124185804,exit_to,丰北路,regular
124185804,highway,motorway_junction,regular
124185989,converted_by,Track2osm,regular
124186055,converted_by,Track2osm,regular
124186116,converted_by,Track2osm,regular
124186455,converted_by,Track2osm,regular
165738262,highway,traffic_signals,regular
165738419,highway,traffic_signals,regular
235940949,highway,traffic_signals,regular
237546554,ref,6A,regular
237546554,exit_to,北五环,regular
237546554,highway,motorway_junction,regular
237585368,ref,41,regular
237585368,exit_to,信息路;中关村北大街,regular
237585368,highway,motorway_junction,regular
240420772,highway,crossing,regular
240420772,crossing,traffic_signals,regular
244078601,name,东城区,regular
244078601,place,suburb,regular
244078601,gns:DSG,ADM3,regular
244078601,gns:UFI,-1903688,regular
244078601,gns:UNI,9336395,regular
244078601,en,Dongcheng,name
244078601,ru,Дунчэн,name
244078601,vi,Tây Thành,name
244078601,zh,东城区,name
244078601,gns:ADM1,22,regular
244078601,zh_pinyin,Dongcheng Qu,name
244081855,gns:ADM1,22,regular
244081855,gns:DSG,ADM3,regular
244081855,gns:UFI,-1926734,regular
244081855,gns:UNI,9336415,regular
244081855,name,顺义区,regular
244081855,en,Shunyi,name
244081855,ja,順義区,name
244081855,vi,Thuận Nghĩa,name
244081855,zh,顺义区,name
244081855,zh_pinyin,Shùnyì qū,name
244081855,place,city,regular
244255936,highway,traffic_signals,regular
244882982,highway,traffic_signals,regular
244888915,highway,traffic_signals,regular
245108192,highway,traffic_signals,regular
245109112,highway,traffic_signals,regular
245114070,highway,traffic_signals,regular
245130636,name,圆明园南门,regular
245130636,highway,bus_stop,regular
245130636,public_transport,stop_position,regular
245130884,highway,traffic_signals,regular
245132377,highway,traffic_signals,regular
245135143,highway,traffic_signals,regular
245135649,highway,traffic_signals,regular
245137072,highway,traffic_signals,regular
245138077,highway,traffic_signals,regular
245141891,highway,traffic_signals,regular
245143482,highway,traffic_signals,regular
245148548,highway,traffic_signals,regular
249560773,created_by,JOSM,regular
249560933,created_by,JOSM,regular
249780111,highway,traffic_signals,regular
252852843,highway,traffic_signals,regular
252853379,highway,traffic_signals,regular
256832892,highway,traffic_signals,regular
256833282,highway,traffic_signals,regular
258970639,highway,traffic_signals,regular
264602516,barrier,toll_booth,regular
265839508,name,霍营,regular
265839508,subway,yes,regular
265839508,en,HUOYING,name
265839508,ru,Хуоин,name
265839508,zh,霍营,name
265839508,railway,station,regular
265839508,public_transport,stop_position,regular
266112331,highway,traffic_signals,regular
266114404,highway,traffic_signals,regular
268389341,highway,traffic_signals,regular
269351353,highway,traffic_signals,regular
269422417,name,屯佃村,regular
269422417,highway,bus_stop,regular
269422417,public_transport,stop_position,regular
269430212,highway,bus_stop,regular
269430212,public_transport,stop_position,regular
269489741,highway,traffic_signals,regular
269491725,highway,traffic_signals,regular
269492021,foot,yes,regular
269492021,name,颐和园北如意门,regular
269492021,barrier,gate,regular
269492021,bicycle,no,regular
269492188,fee,no,regular
269492188,amenity,toilets,regular
269703067,name,妙应寺,regular
269703067,en,Miaoying Temple,name
269703067,tourism,attraction,regular
271823023,name,Yi Pen Shui (A Basin of Water),regular
271823023,tourism,yes,regular
273093224,name,安定,regular
273093224,railway,station,regular
274690297,name,二十八公里线路所,regular
274690297,ru,28-й км,name
274690297,railway,halt,regular
274942596,name,水木自親碼頭,regular
274942596,tourism,viewpoint,regular
276094660,ref,30,regular
276094660,exit_to,丰管路;东管头,regular
276094660,highway,motorway_junction,regular
276094705,ref,24,regular
276094705,exit_to,木樨园桥;大红门桥;永定门桥,regular
276094705,highway,motorway_junction,regular
277313632,name,远大路东口,regular
277313632,highway,bus_stop,regular
277313632,public_transport,stop_position,regular
280038339,highway,traffic_signals,regular
280038549,highway,traffic_signals,regular
280038884,name,北安河,regular
280038884,barrier,toll_booth,regular
280447501,name,曹家沟,regular
280447501,highway,bus_stop,regular
280447501,public_transport,stop_position,regular
283643830,name,田义墓地宫,regular
283643830,en,Burial vault of Tomb of Tian Yi,name
283643830,tourism,viewpoint,regular
285012770,ele,357,regular
285012770,name,青松岭,regular
285012770,en,Pine Peak,name
285012770,natural,peak,regular
286277995,highway,traffic_signals,regular
286278887,name,当代城市家园,regular
286278887,highway,bus_stop,regular
286279166,name,东商超市,regular
286279166,shop,convenience,regular
286279166,en,Dong Shang Shop,name
286387098,highway,traffic_signals,regular
287967825,highway,traffic_signals,regular
288045055,highway,traffic_signals,regular
288368609,highway,traffic_signals,regular
288368677,highway,traffic_signals,regular
288448664,railway,level_crossing,regular
288643091,man_made,pier,regular
288644164,name,圆明园盛时全景,regular
288644164,tourism,attraction,regular
288745102,highway,traffic_signals,regular
288747313,highway,traffic_signals,regular
289094945,shop,convenience,regular
289276163,highway,traffic_signals,regular
289555296,highway,traffic_signals,regular
290597856,name,孔乙己酒家,regular
290597856,amenity,restaurant,regular
290597856,en,Kongyiji Restaurant,name
290598389,ref,C,regular
290598389,railway,subway_entrance,regular
290598560,name,IBM中国软件开发中心(得实大厦),regular
290598560,en,IBM China Software Development Lab (Dascom Building),name
290598560,building,yes,regular
290952308,highway,traffic_signals,regular
291155236,created_by,Merkaartor 0.11,regular
291156254,created_by,Merkaartor 0.11,regular
291156521,created_by,Merkaartor 0.11,regular
291156531,created_by,Merkaartor 0.11,regular
291156569,created_by,Merkaartor 0.11,regular
291156631,created_by,Merkaartor 0.11,regular
291156964,created_by,Merkaartor 0.11,regular
291156974,created_by,Merkaartor 0.11,regular
291156984,created_by,Merkaartor 0.11,regular
291156994,created_by,Merkaartor 0.11,regular
291157004,created_by,Merkaartor 0.11,regular
291157691,created_by,Merkaartor 0.11,regular
291157702,created_by,Merkaartor 0.11,regular
291157712,created_by,Merkaartor 0.11,regular
291157723,created_by,Merkaartor 0.11,regular
291157733,created_by,Merkaartor 0.11,regular
291158214,created_by,Merkaartor 0.11,regular
291158224,created_by,Merkaartor 0.11,regular
291158234,created_by,Merkaartor 0.11,regular
291158249,created_by,Merkaartor 0.11,regular
291158259,created_by,Merkaartor 0.11,regular
291158269,created_by,Merkaartor 0.11,regular
291158279,created_by,Merkaartor 0.11,regular
291158290,created_by,Merkaartor 0.11,regular
291159287,created_by,Merkaartor 0.11,regular
