id,key,value,type
4822336,name,慧忠路,regular
4822336,oneway,yes,regular
4822336,highway,tertiary,regular
4822336,int_name,Huizhong Lu,regular
4822336,zh_pinyin,Huì Zhōng Lù,name
4845045,name,护城河,regular
4845045,water,moat,regular
4845045,de,Palastgraben,name
4845045,en,Palace Moat,name
4845045,zh,护城河,name
4845045,natural,water,regular
4922662,bicycle,no,regular
4922662,highway,pedestrian,regular
4922662,name,南锣鼓巷,regular
4922662,en,South Luogu Alley,name
4922662,en_pinyin,South Luogu Alley,name
4922662,zh_py,Nanluogu Xiang,name
4922662,service,alley,regular
4922662,wikipedia,zh:南锣鼓巷,regular
4964849,highway,residential,regular
5168726,name,北三环东路,regular
5168726,lanes,3,regular
5168726,oneway,yes,regular
5168726,highway,trunk,regular
5169097,name,西三环北路,regular
5169097,oneway,yes,regular
5169097,highway,trunk,regular
5217979,layer,1,regular
5217979,bridge,yes,regular
5217979,highway,footway,regular
8861304,name,朝阳北路,regular
8861304,oneway,yes,regular
8861304,highway,secondary,regular
8861304,int_name,Chaoyang Beilu,regular
8861304,zh_pinyin,cháoyáng běi lù,name
9746850,oneway,yes,regular
9746850,highway,secondary_link,regular
9932203,oneway,yes,regular
9932203,highway,residential,regular
13433115,name,北蜂窝路,regular
13433115,oneway,yes,regular
13433115,highway,tertiary,regular
13433115,en,Beifengwo Road,name
13433115,int_name,Beifengwo Lu,regular
22036897,name,崇文门外大街,regular
22036897,oneway,yes,regular
22036897,highway,primary,regular
22036897,en,Outer Chongwenmen Str,name
22036897,zh,崇文门外大街,name
22036897,zh_pinyin,Chóngwénmén wài dà jiē,name
22758736,lit,yes,regular
22758736,name,新街口外大街,regular
22758736,oneway,yes,regular
22758736,highway,secondary,regular
22758736,zh_pinyin,Outer Xinjiekou Str,name
22771900,name,学院路,regular
22771900,oneway,yes,regular
22771900,highway,tertiary,regular
22787963,ref,P3,regular
22787963,aeroway,taxiway,regular
22788597,highway,residential,regular
22797977,name,幸福大街,regular
22797977,oneway,yes,regular
22797977,highway,secondary,regular
22797977,en,Xingfu Street,name
22797977,zh,幸福大街,name
22797977,int_name,Xingfu Dajie,regular
22799951,name,清华路,regular
22799951,access,permissive,regular
22799951,highway,service,regular
22800041,name,北三环东路,regular
22800041,oneway,yes,regular
22800041,highway,tertiary,regular
23023863,aeroway,taxiway,regular
23116008,oneway,yes,regular
23116008,highway,motorway_link,regular
23215394,name,文化园西路,regular
23215394,oneway,yes,regular
23215394,highway,secondary,regular
23215394,en,Wenhuayuan xilu,name
23351487,name,百万庄大街,regular
23351487,highway,secondary,regular
23351487,en,Baiwanzhuang Str,name
23351487,trolley_wire,yes,regular
23426905,service,siding,regular
